Mutation.Type	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17
DEL_repeats_5+_3	1.89e-5	1.58151e-4	4.12e-18	0.00118248	2.57167e-4	1.68175e-4	4.06617e-4	8.16e-6	6.12e-6	1.3703e-4	9.08e-18	0.002200952	6.4e-6	2.85e-5	1.2457865811275e-6	6.72531113763592e-6	3.43435927859616e-8
DEL_repeats_5+_4	3.11e-6	8.47e-5	4.37e-5	1.46923e-4	9.73e-5	5.32e-5	1.25882e-4	1.12898e-4	7.25e-6	1.25027e-4	9.08e-18	0.001256186	1.46e-6	1.5e-5	6.58004610552164e-18	2.67193468891148e-7	9.20661205435291e-9
DEL_repeats_5+_5+	3.13e-5	2.12e-5	3.82e-6	1.06174e-4	5.85018e-4	1.15e-5	2.08e-5	4.43e-5	2.99e-5	0.001120242	8.18e-8	0.00618126	2.35e-6	9.08e-5	1.73649230813665e-6	2.62957009910824e-18	3.33535657530527e-8
INS_repeats_2_0	4.02036e-4	3.31853e-4	0.00263595	4.92922e-4	0.006349454	0.001998387	3.04e-5	0.00191671	0.001162339	0.025305458	1.90467e-4	0.007440331	0.010618411	0.023942256	6.58004610552164e-18	0.0021917928286492	0.0343794135783801
INS_repeats_2_1	7.88e-6	2.71665e-4	0.002242683	5.53302e-4	0.018387642	2.08533e-4	3.97626e-4	0.001661816	0.002100192	0.038908392	9.08e-18	0.001062301	0.001801368	1.23773e-4	6.58004610552164e-18	0.00108784776586042	0.0585086492632652
INS_repeats_2_2	2.21347e-4	0.001035341	9.55604e-4	2.66335e-4	0.007207952	7.90414e-4	7.01e-5	3.04586e-4	7.60941e-4	0.026205652	2.47885e-4	5.50238e-4	6.88524e-4	0.001114199	6.58004610552164e-18	7.29931569198568e-4	0.0636941929664411
INS_repeats_2_3	5.14268e-4	3.81326e-4	8.97238e-4	1.37794e-4	0.001172292	4.99074e-4	0.003147039	1.77583e-4	3.51635e-4	2.8006e-4	3.72356e-4	1.65525e-4	7.43544e-4	8.71483e-4	6.58004610552164e-18	9.48112433024279e-5	0.00976271301510184
INS_repeats_2_4	0.0029131	0.001977423	2.53085e-4	7.19e-5	6.88e-5	1.89469e-4	0.00182828	1.66e-5	3.07e-5	8.42e-18	4.42384e-4	0.001018206	2.13354e-4	0.002973978	6.58004610552164e-18	1.31664280470189e-4	3.84371444624452e-9
INS_repeats_2_5+	0.018121584	0.013633376	6.67e-6	1.03689e-4	9.94122e-4	7.48642e-4	2.4477e-4	0.001764384	5.41e-18	8.42e-18	2.88801e-4	0.038005197	8.46575e-4	5.44275e-4	6.58004610552164e-18	1.18323308639907e-6	4.64406625218008e-8
INS_repeats_3_0	3.06e-7	5.78e-5	9.6e-5	2.63e-5	0.003792478	0.001219185	0	6.67863e-4	2.54573e-4	0.018103905	9.08e-18	0.01515014	8.21e-5	0.006623497	6.58004610552164e-18	5.70589182021802e-4	0.0195831374457896
INS_repeats_3_1	2.54695e-4	0.00122705	2.86144e-4	4.50983e-4	0.006122761	2.88615e-4	5.51e-6	6.71723e-4	8.23355e-4	0.055211908	2.07083e-4	8.69573e-4	0.003688328	0.0025232	6.58004610552164e-18	0.001092184115997	0.112273274400416
INS_repeats_3_2	4.41e-5	2.10075e-4	9.75e-5	6.00335e-4	0.001143468	7.46533e-4	5.47e-5	1.35768e-4	1.18261e-4	0.009432034	2.21526e-4	1.83891e-4	2.02511e-4	2.04501e-4	6.58004610552164e-18	2.81270540937246e-4	0.0388744786920139
INS_repeats_3_3	1.66702e-4	3.02e-6	1.36e-5	7.42e-5	1.02e-5	2.49737e-4	1.77833e-4	3.79e-5	5.18e-6	4.61099e-4	2.18e-5	8.7e-5	2.37e-5	3.27493e-4	6.58004610552164e-18	3.18038761003157e-5	1.39169498026687e-8
INS_repeats_3_4	8.89e-5	1.41807e-4	1.56e-6	7.4e-5	1.18e-5	1.55952e-4	4.15609e-4	1.22041e-4	1.61e-5	1.8704e-4	9.08e-18	3.40788e-4	3.49e-6	6.0186e-4	6.58004610552164e-18	7.5573360370254e-5	2.83510026533301e-8
INS_repeats_3_5+	0.001248696	0.001864707	4.12e-18	3.96e-5	1.02574e-4	1.98e-5	7.69276e-4	3.66e-5	5.41e-18	1.8504e-4	9.01e-5	0.002840312	3.54e-5	0.002205997	6.58004610552164e-18	2.28987512369934e-5	2.78074941910782e-8
INS_repeats_4_0	3.31e-18	1.68e-5	4.12e-18	1.66645e-4	0.002439186	0.001467917	0	7.77758e-4	1.64387e-4	0.016003452	1.59621e-4	0.005701178	0.001118797	0.00594693	6.58004610552164e-18	3.27559887237071e-4	0.0146924521955361
INS_repeats_4_1	7.44381e-4	0.001203728	1.75982e-4	0.001266435	0.003612298	4.76283e-4	2.61e-5	0.001103901	7.15565e-4	0.074616092	3.77636e-4	0.001908886	0.002691635	0.001326926	6.58004610552164e-18	0.00150697819353949	0.210245111019824
INS_repeats_4_2	7.55e-5	1.22e-5	2.74e-5	9.84e-5	3.76459e-4	5.28663e-4	1.94817e-4	7.99e-5	4.24e-5	0.004090882	9.08e-18	2.1849e-4	6.93e-5	8.45e-5	6.58004610552164e-18	4.49962737763675e-5	0.00974909693497787
INS_repeats_4_3	1.57544e-4	1.34169e-4	4.77e-5	5.25e-5	1.87e-6	3.34824e-4	2.73742e-4	8.58e-6	2.15e-5	2.39052e-4	9.08e-18	1.76569e-4	6.39e-7	7.13852e-4	1.36092421699612e-6	3.01646709616391e-7	1.86094344198747e-8
INS_repeats_4_4	3.19653e-4	2.49385e-4	4.18e-6	1.46911e-4	6.41e-6	5.6e-5	2.58757e-4	2.05515e-4	5.41e-18	0.002280492	9.08e-18	6.36053e-4	1.21e-5	0.00166501	1.44599935194735e-6	9.39515537716102e-6	9.67765006760512e-9
INS_repeats_4_5+	0.00100132	0.002193545	3.29e-5	1.35205e-4	6.35977e-4	1.06861e-4	8.74e-6	8.85225e-4	2.18e-6	0.013802977	9.08e-18	0.011670537	3.14e-7	2.74449e-4	6.58004610552164e-18	2.65634407131845e-18	1.16548732028598e-8
INS_repeats_5+_0	3.31e-18	3.95e-18	8.83e-5	8.58e-5	0.004750071	0.008716781	0	3.18329e-4	1.65846e-4	0.049210613	6.6606e-4	0.013790645	0.002590231	0.002712141	6.58004610552164e-18	0.00117258662949932	0.0146738819971304
INS_repeats_5+_1	0.001443126	1.35658e-4	6.5622e-4	0.002135852	0.004793431	0.005405643	0	0.009761114	0.001253996	0.278059971	0.00115191	0.003834265	0.013501952	0.026455525	6.58004610552164e-18	0.0011011924574188	0.00491953232698964
INS_repeats_5+_2	2.54832e-4	5.53e-6	5.51e-6	2.22027e-4	2.98796e-4	0.001321843	8.84e-6	1.01153e-4	1.02849e-4	0.009221989	3.66007e-4	0.002130016	4.59e-5	4.88313e-4	1.18199012643727e-6	8.28266792667268e-7	4.6445807436868e-8
INS_repeats_5+_3	2.37087e-4	9.77e-5	3.32e-5	7.59e-6	1.65546e-4	2.88e-5	4.46e-6	7.09e-5	8.02e-5	0.003660789	8.34e-7	0.002660489	4.61e-5	1.03831e-4	1.621273088488e-6	2.65757325630755e-18	4.75565784473372e-8
INS_repeats_5+_4	2.61865e-4	2.15e-6	7.87e-6	2.53e-5	1.26707e-4	4.83e-5	1.06e-5	6.74e-6	5.05e-5	0.00334072	2.25e-6	0.001592407	2.43e-6	1.57593e-4	6.58004610552164e-18	2.65563975048453e-18	3.95567326568308e-8
INS_repeats_5+_5+	1.19834e-4	1.15629e-4	3.48e-6	1.60229e-4	6.26342e-4	6.17e-5	4.28e-6	1.90551e-4	9.89e-6	0.002740591	1.84e-6	0.00613607	4.33e-5	2.15e-5	6.58004610552164e-18	2.65069544116599e-18	4.48283910156371e-8
DEL_MH_2_1	0.001197815	1.75553e-4	0.006930764	0.18899749	0.028687946	6.32866e-4	0.003127058	0.004913672	0.003900972	6.38138e-4	3.82064e-4	0.002653503	0.008872408	0.002640925	6.58004610552164e-18	0.00137420087593352	0.00366896648521895
DEL_MH_3_1	8.19e-5	5.46e-7	3.44612e-4	0.007034156	0.013157147	9.90097e-4	2.5476e-4	0.009290337	0.003011328	0.003960854	2.00443e-4	0.010328352	0.001140083	0.001575173	6.58004610552164e-18	7.64470282770831e-4	0.0048873035805209
DEL_MH_3_2	0.001479593	0.002944063	3.0285e-4	0.049416601	0.00900421	0.00443363	0.004635639	0.004302693	0.001543302	0.019304164	3.01744e-4	0.006061158	4.50306e-4	0.003236935	6.58004610552164e-18	9.80363974341033e-4	0.00368107551554234
DEL_MH_4_1	8.38e-5	1.47005e-4	7.35e-5	0.010981719	0.008732202	0.002745395	1.83827e-4	0.005809551	0.001927721	1.79039e-4	9.08e-18	0.003771718	0.001270798	8.2e-6	6.58004610552164e-18	5.04717900987043e-4	0.0109797305945076
DEL_MH_4_2	1.45479e-4	5.50614e-4	3.40216e-4	0.029483877	0.006047187	0.00868271	0.001019041	0.001591587	0.003297448	3.87083e-4	9.08e-18	0.004573153	1.59723e-4	9.50493e-4	6.58004610552164e-18	4.09799520784757e-4	0.00489044160567025
DEL_MH_4_3	1.60684e-4	6.93566e-4	1.30463e-4	0.04886664	0.003442442	0.004773094	7.17325e-4	0.001098342	0.002544079	8.22e-5	7.89868e-4	5.25263e-4	2.70578e-4	0.002230434	6.58004610552164e-18	4.02367649801e-4	0.00365961696983014
DEL_MH_5+_1	8.16e-7	6.24963e-4	0.001369634	4.53121e-4	0.008617073	0.071066579	2.36e-5	0.280724261	3.54e-5	0.001330287	2.82794e-4	5.63378e-4	0.011740777	0.006551706	6.60877105516124e-4	0.00536204916184987	0.0207713280418549
DEL_MH_5+_2	2.38e-10	1.17708e-4	0.001751272	1.36232e-4	0.007851021	0.253108347	2.45769e-4	0.123610163	2.21236e-4	1.24027e-4	3.72771e-4	1.42e-17	0.007055421	0.004498634	4.32409450773911e-4	0.00502171467340586	0.012290058300929
DEL_MH_5+_3	2.33e-12	5.67e-5	7.74958e-4	0.001112236	0.007157975	0.216806032	6.16e-5	0.046130408	5.70907e-4	5.65e-5	7.50127e-4	3.23568e-4	0.002165984	0.001404487	2.6612607242146e-4	0.00333883980844505	0.00859625789862607
DEL_MH_5+_4	3.88e-5	4.62842e-4	6.40555e-4	0.003652946	0.002492549	0.120483943	6.82e-5	0.016367256	4.48308e-4	1.04022e-4	1.30278e-4	2.77663e-4	2.81736e-4	1.00143e-4	2.47928132326935e-4	0.00132989736605632	0.00489791342344186
DEL_MH_5+_5+	6.65116e-4	0.002367319	3.6297e-4	4.56e-5	0.001112367	0.099282999	0.001738365	0.012814882	5.41e-18	0.041408931	5.18955e-4	0.006657973	0.013131907	9.31512e-4	1.39828818249736e-4	0.00160162870855497	0.00607563604544812
